"X","index","sid","dyad","user_id","other_id","participant_condition","other_condition","question_content","measure","condition"
0,0,"mk:prolific_participant_real_2:1","p1p5","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p5","U","U","liked",4,"UU"
1,1,"mk:prolific_participant_real_2:1","p1p5","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p5","U","U","other_liked",4,"UU"
2,2,"mk:prolific_participant_real_2:1","p1p5","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p5","U","U","conversation_quality",5,"UU"
3,3,"mk:prolific_participant_real_2:1","p1p5","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p5","U","U","video_conf_quality",7,"UU"
4,4,"mk:prolific_participant_real_2:1","p1p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p1","U","U","liked",7,"UU"
5,5,"mk:prolific_participant_real_2:1","p1p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p1","U","U","other_liked",6,"UU"
6,6,"mk:prolific_participant_real_2:1","p1p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p1","U","U","conversation_quality",7,"UU"
7,7,"mk:prolific_participant_real_2:1","p1p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p1","U","U","video_conf_quality",5,"UU"
8,8,"mk:prolific_participant_real_2:1","p1p6","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p6","S","U","liked",1,"SU"
9,9,"mk:prolific_participant_real_2:1","p1p6","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p6","S","U","other_liked",1,"SU"
10,10,"mk:prolific_participant_real_2:1","p1p6","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p6","S","U","conversation_quality",1,"SU"
11,11,"mk:prolific_participant_real_2:1","p1p6","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p6","S","U","video_conf_quality",4,"SU"
12,12,"mk:prolific_participant_real_2:1","p1p7","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p7","S","S","liked",7,"SS"
13,13,"mk:prolific_participant_real_2:1","p1p7","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p7","S","S","other_liked",7,"SS"
14,14,"mk:prolific_participant_real_2:1","p1p7","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p7","S","S","conversation_quality",7,"SS"
15,15,"mk:prolific_participant_real_2:1","p1p7","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p7","S","S","video_conf_quality",3,"SS"
16,16,"mk:prolific_participant_real_2:1","p1p7","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p1","S","S","liked",6,"SS"
17,17,"mk:prolific_participant_real_2:1","p1p7","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p1","S","S","other_liked",6,"SS"
18,18,"mk:prolific_participant_real_2:1","p1p7","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p1","S","S","conversation_quality",7,"SS"
19,19,"mk:prolific_participant_real_2:1","p1p7","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p1","S","S","video_conf_quality",4,"SS"
20,20,"mk:prolific_participant_real_2:1","p1p8","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p8","U","S","liked",5,"US"
21,21,"mk:prolific_participant_real_2:1","p1p8","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p8","U","S","other_liked",5,"US"
22,22,"mk:prolific_participant_real_2:1","p1p8","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p8","U","S","conversation_quality",6,"US"
23,23,"mk:prolific_participant_real_2:1","p1p8","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p8","U","S","video_conf_quality",7,"US"
24,24,"mk:prolific_participant_real_2:1","p1p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p1","S","U","liked",6,"SU"
25,25,"mk:prolific_participant_real_2:1","p1p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p1","S","U","other_liked",6,"SU"
26,26,"mk:prolific_participant_real_2:1","p1p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p1","S","U","conversation_quality",6,"SU"
27,27,"mk:prolific_participant_real_2:1","p1p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p1","S","U","video_conf_quality",6,"SU"
28,28,"mk:prolific_participant_real_2:1","p2p5","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p5","S","S","liked",7,"SS"
29,29,"mk:prolific_participant_real_2:1","p2p5","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p5","S","S","other_liked",6,"SS"
30,30,"mk:prolific_participant_real_2:1","p2p5","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p5","S","S","conversation_quality",7,"SS"
31,31,"mk:prolific_participant_real_2:1","p2p5","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p5","S","S","video_conf_quality",7,"SS"
32,32,"mk:prolific_participant_real_2:1","p2p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p2","S","S","liked",4,"SS"
33,33,"mk:prolific_participant_real_2:1","p2p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p2","S","S","other_liked",5,"SS"
34,34,"mk:prolific_participant_real_2:1","p2p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p2","S","S","conversation_quality",6,"SS"
35,35,"mk:prolific_participant_real_2:1","p2p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p2","S","S","video_conf_quality",6,"SS"
36,36,"mk:prolific_participant_real_2:1","p2p6","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p6","U","S","liked",7,"US"
37,37,"mk:prolific_participant_real_2:1","p2p6","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p6","U","S","other_liked",6,"US"
38,38,"mk:prolific_participant_real_2:1","p2p6","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p6","U","S","conversation_quality",7,"US"
39,39,"mk:prolific_participant_real_2:1","p2p6","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p6","U","S","video_conf_quality",7,"US"
40,40,"mk:prolific_participant_real_2:1","p2p6","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1p2","S","U","liked",7,"SU"
41,41,"mk:prolific_participant_real_2:1","p2p6","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1p2","S","U","other_liked",6,"SU"
