...1,index,sid,dyad,user_id,other_id,participant_condition,other_condition,question_content,measure,relationship
0,0,mk:prolific_participant_real_2:1,p1p5,mk:prolific_participant_real_2:1p1,mk:prolific_participant_real_2:1p5,U,U,liked,4,-0.441582861886251
4,4,mk:prolific_participant_real_2:1,p1p5,mk:prolific_participant_real_2:1p5,mk:prolific_participant_real_2:1p1,U,U,liked,7,1.53006686305475
8,8,mk:prolific_participant_real_2:1,p1p6,mk:prolific_participant_real_2:1p1,mk:prolific_participant_real_2:1p6,S,U,liked,1,-2.78712217311782
12,12,mk:prolific_participant_real_2:1,p1p7,mk:prolific_participant_real_2:1p1,mk:prolific_participant_real_2:1p7,S,S,liked,7,2.0161090419265
16,16,mk:prolific_participant_real_2:1,p1p7,mk:prolific_participant_real_2:1p7,mk:prolific_participant_real_2:1p1,S,S,liked,6,-0.0957421509402723
20,20,mk:prolific_participant_real_2:1,p1p8,mk:prolific_participant_real_2:1p1,mk:prolific_participant_real_2:1p8,U,S,liked,5,-0.031107043721625
24,24,mk:prolific_participant_real_2:1,p1p8,mk:prolific_participant_real_2:1p8,mk:prolific_participant_real_2:1p1,S,U,liked,6,-0.61470164813461
28,28,mk:prolific_participant_real_2:1,p2p5,mk:prolific_participant_real_2:1p2,mk:prolific_participant_real_2:1p5,S,S,liked,7,0.38111186768717
32,32,mk:prolific_participant_real_2:1,p2p5,mk:prolific_participant_real_2:1p5,mk:prolific_participant_real_2:1p2,S,S,liked,4,-1.41686204907654
36,36,mk:prolific_participant_real_2:1,p2p6,mk:prolific_participant_real_2:1p2,mk:prolific_participant_real_2:1p6,U,S,liked,7,1.0355725564556
40,40,mk:prolific_participant_real_2:1,p2p6,mk:prolific_participant_real_2:1p6,mk:prolific_participant_real_2:1p2,S,U,liked,7,0.756042162196684
44,44,mk:prolific_participant_real_2:1,p2p7,mk:prolific_participant_real_2:1p2,mk:prolific_participant_real_2:1p7,U,U,liked,7,-0.161196228500076
48,48,mk:prolific_participant_real_2:1,p2p8,mk:prolific_participant_real_2:1p2,mk:prolific_participant_real_2:1p8,S,U,liked,7,-0.208412314148204
52,52,mk:prolific_participant_real_2:1,p2p8,mk:prolific_participant_real_2:1p8,mk:prolific_participant_real_2:1p2,U,S,liked,7,0.438369439734105
56,56,mk:prolific_participant_real_2:1,p3p5,mk:prolific_participant_real_2:1p5,mk:prolific_participant_real_2:1p3,S,U,liked,4,-1.0916979530862
60,60,mk:prolific_participant_real_2:1,p3p7,mk:prolific_participant_real_2:1p3,mk:prolific_participant_real_2:1p7,S,U,liked,5,-1.18203755037347
64,64,mk:prolific_participant_real_2:1,p3p8,mk:prolific_participant_real_2:1p3,mk:prolific_participant_real_2:1p8,U,U,liked,7,0.770746363978398
68,68,mk:prolific_participant_real_2:1,p3p8,mk:prolific_participant_real_2:1p8,mk:prolific_participant_real_2:1p3,U,U,liked,7,0.763533535724439
72,72,mk:prolific_participant_real_2:1,p4p5,mk:prolific_participant_real_2:1p5,mk:prolific_participant_real_2:1p4,U,S,liked,6,NA
76,76,mk:prolific_participant_real_2:1,p4p7,mk:prolific_participant_real_2:1p7,mk:prolific_participant_real_2:1p4,S,U,liked,4,NA
80,80,mk:prolific_participant_real_2:1,p4p8,mk:prolific_participant_real_2:1p8,mk:prolific_participant_real_2:1p4,S,S,liked,4,NA
84,84,mk:prolific_participant_real_2:2,p1p5,mk:prolific_participant_real_2:2p1,mk:prolific_participant_real_2:2p5,U,U,liked,7,1.23673370527843
88,88,mk:prolific_participant_real_2:2,p1p5,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p1,U,U,liked,7,1.68655470060924
92,92,mk:prolific_participant_real_2:2,p1p6,mk:prolific_participant_real_2:2p1,mk:prolific_participant_real_2:2p6,S,U,liked,4,-0.929770200971573
96,96,mk:prolific_participant_real_2:2,p1p6,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p1,U,S,liked,1,-2.81295701814076
100,100,mk:prolific_participant_real_2:2,p1p7,mk:prolific_participant_real_2:2p1,mk:prolific_participant_real_2:2p7,S,S,liked,7,1.22285837975759
104,104,mk:prolific_participant_real_2:2,p1p7,mk:prolific_participant_real_2:2p7,mk:prolific_participant_real_2:2p1,S,S,liked,6,0.505931328213405
108,108,mk:prolific_participant_real_2:2,p1p8,mk:prolific_participant_real_2:2p1,mk:prolific_participant_real_2:2p8,U,S,liked,4,-1.2190049981314
112,112,mk:prolific_participant_real_2:2,p2p5,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p5,S,S,liked,6,0.372037997321478
116,116,mk:prolific_participant_real_2:2,p2p5,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p2,S,S,liked,6,0.108301749305119
120,120,mk:prolific_participant_real_2:2,p2p6,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p6,U,S,liked,5,0.205534091071477
124,124,mk:prolific_participant_real_2:2,p2p6,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p2,S,U,liked,5,0.608790030555119
128,128,mk:prolific_participant_real_2:2,p2p7,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p7,U,U,liked,6,0.358162671800644
132,132,mk:prolific_participant_real_2:2,p2p7,mk:prolific_participant_real_2:2p7,mk:prolific_participant_real_2:2p2,U,U,liked,6,-0.0723216230907138
136,136,mk:prolific_participant_real_2:2,p2p8,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p8,S,U,liked,4,-1.08370070608835
140,140,mk:prolific_participant_real_2:2,p3p5,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p5,U,S,liked,6,0.0322891114250066
144,144,mk:prolific_participant_real_2:2,p3p5,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p3,S,U,liked,5,-0.636709606836711
148,148,mk:prolific_participant_real_2:2,p3p6,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p6,S,S,liked,5,-0.134214794824994
152,152,mk:prolific_participant_real_2:2,p3p6,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p3,S,S,liked,5,0.863778674413289
156,156,mk:prolific_participant_real_2:2,p3p7,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p7,S,U,liked,6,0.0184137859041726
160,160,mk:prolific_participant_real_2:2,p3p7,mk:prolific_participant_real_2:2p7,mk:prolific_participant_real_2:2p3,U,S,liked,6,0.182667020767456
164,164,mk:prolific_participant_real_2:2,p3p8,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p8,U,U,liked,6,0.576550408015176
168,168,mk:prolific_participant_real_2:2,p3p8,mk:prolific_participant_real_2:2p8,mk:prolific_participant_real_2:2p3,U,U,liked,5,-0.568773027450318
172,172,mk:prolific_participant_real_2:2,p4p5,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p5,S,U,liked,4,-1.25909272451249
176,176,mk:prolific_participant_real_2:2,p4p5,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p4,U,S,liked,5,-0.761831677149212
180,180,mk:prolific_participant_real_2:2,p4p6,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p6,U,U,liked,5,0.574403369237507
184,184,mk:prolific_participant_real_2:2,p4p6,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p4,U,U,liked,4,-0.261343395899212
188,188,mk:prolific_participant_real_2:2,p4p7,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p7,U,S,liked,4,-1.27296805003333
192,192,mk:prolific_participant_real_2:2,p4p7,mk:prolific_participant_real_2:2p7,mk:prolific_participant_real_2:2p4,S,U,liked,6,0.0575449504549548
196,196,mk:prolific_participant_real_2:2,p4p8,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p8,S,S,liked,6,1.28516857207768
200,200,mk:prolific_participant_real_2:2,p4p8,mk:prolific_participant_real_2:2p8,mk:prolific_participant_real_2:2p4,S,S,liked,7,1.30610490223718
204,204,mk:prolific_participant_real_3:1,p1p5,mk:prolific_participant_real_3:1p5,mk:prolific_participant_real_3:1p1,U,U,liked,4,NA
208,208,mk:prolific_participant_real_3:1,p1p7,mk:prolific_participant_real_3:1p7,mk:prolific_participant_real_3:1p1,S,S,liked,7,NA
212,212,mk:prolific_participant_real_3:1,p2p5,mk:prolific_participant_real_3:1p2,mk:prolific_participant_real_3:1p5,S,S,liked,7,0.511317274305554
216,216,mk:prolific_participant_real_3:1,p2p5,mk:prolific_participant_real_3:1p5,mk:prolific_participant_real_3:1p2,S,S,liked,7,-0.00712890625000107
220,220,mk:prolific_participant_real_3:1,p2p6,mk:prolific_participant_real_3:1p2,mk:prolific_participant_real_3:1p6,U,S,liked,7,0.0106662326388882
224,224,mk:prolific_participant_real_3:1,p2p6,mk:prolific_participant_real_3:1p6,mk:prolific_participant_real_3:1p2,S,U,liked,7,-0.0624674479166671
228,228,mk:prolific_participant_real_3:1,p2p7,mk:prolific_participant_real_3:1p7,mk:prolific_participant_real_3:1p2,U,U,liked,7,-0.0569155092592606
232,232,mk:prolific_participant_real_3:1,p3p5,mk:prolific_participant_real_3:1p3,mk:prolific_participant_real_3:1p5,U,S,liked,5,-0.537655526620371
236,236,mk:prolific_participant_real_3:1,p3p5,mk:prolific_participant_real_3:1p5,mk:prolific_participant_real_3:1p3,S,U,liked,7,0.0978334780092585
240,240,mk:prolific_participant_real_3:1,p3p6,mk:prolific_participant_real_3:1p3,mk:prolific_participant_real_3:1p6,S,S,liked,6,-0.0383065682870374
244,244,mk:prolific_participant_real_3:1,p3p6,mk:prolific_participant_real_3:1p6,mk:prolific_participant_real_3:1p3,S,S,liked,7,0.0424949363425924
248,248,mk:prolific_participant_real_3:1,p3p7,mk:prolific_participant_real_3:1p3,mk:prolific_participant_real_3:1p7,S,U,liked,6,0.0124565972222221
252,252,mk:prolific_participant_real_3:1,p3p7,mk:prolific_participant_real_3:1p7,mk:prolific_participant_real_3:1p3,U,S,liked,7,0.0480468749999989
256,256,mk:prolific_participant_real_3:1,p3p8,mk:prolific_participant_real_3:1p3,mk:prolific_participant_real_3:1p8,U,U,liked,4,NA
