...1,index,sid,dyad,user_id,other_id,participant_condition,other_condition,question_content,measure,relationship,measure.p,measure.t
0,0,mk:prolific_participant_real_2:1,p1p5,mk:prolific_participant_real_2:1p1,mk:prolific_participant_real_2:1p5,U,U,liked,4,-0.441582861886251,-1.20890427820962,0.225447287411424
4,4,mk:prolific_participant_real_2:1,p1p5,mk:prolific_participant_real_2:1p5,mk:prolific_participant_real_2:1p1,U,U,liked,7,1.53006686305475,-0.586603085502214,-0.180601794940175
8,8,mk:prolific_participant_real_2:1,p1p6,mk:prolific_participant_real_2:1p1,mk:prolific_participant_real_2:1p6,S,U,liked,1,-2.78712217311782,-1.20890427820962,0.225447287411424
12,12,mk:prolific_participant_real_2:1,p1p7,mk:prolific_participant_real_2:1p1,mk:prolific_participant_real_2:1p7,S,S,liked,7,2.0161090419265,-1.20890427820962,0.225447287411424
16,16,mk:prolific_participant_real_2:1,p1p7,mk:prolific_participant_real_2:1p7,mk:prolific_participant_real_2:1p1,S,S,liked,6,-0.0957421509402723,0.0392059284928044,0.361706301247071
20,20,mk:prolific_participant_real_2:1,p1p8,mk:prolific_participant_real_2:1p1,mk:prolific_participant_real_2:1p8,U,S,liked,5,-0.031107043721625,-1.20890427820962,0.225447287411424
24,24,mk:prolific_participant_real_2:1,p1p8,mk:prolific_participant_real_2:1p8,mk:prolific_participant_real_2:1p1,S,U,liked,6,-0.61470164813461,0.558165425687142,0.408922386895199
28,28,mk:prolific_participant_real_2:1,p2p5,mk:prolific_participant_real_2:1p2,mk:prolific_participant_real_2:1p5,S,S,liked,7,0.38111186768717,0.968400992216961,0.172376199542708
32,32,mk:prolific_participant_real_2:1,p2p5,mk:prolific_participant_real_2:1p5,mk:prolific_participant_real_2:1p2,S,S,liked,4,-1.41686204907654,-0.586603085502214,-0.180601794940175
36,36,mk:prolific_participant_real_2:1,p2p6,mk:prolific_participant_real_2:1p2,mk:prolific_participant_real_2:1p6,U,S,liked,7,1.0355725564556,0.968400992216961,0.172376199542708
40,40,mk:prolific_participant_real_2:1,p2p6,mk:prolific_participant_real_2:1p6,mk:prolific_participant_real_2:1p2,S,U,liked,7,0.756042162196684,0.240492703224563,-0.835062483708602
44,44,mk:prolific_participant_real_2:1,p2p7,mk:prolific_participant_real_2:1p2,mk:prolific_participant_real_2:1p7,U,U,liked,7,-0.161196228500076,0.968400992216961,0.172376199542708
48,48,mk:prolific_participant_real_2:1,p2p8,mk:prolific_participant_real_2:1p2,mk:prolific_participant_real_2:1p8,S,U,liked,7,-0.208412314148204,0.968400992216961,0.172376199542708
52,52,mk:prolific_participant_real_2:1,p2p8,mk:prolific_participant_real_2:1p8,mk:prolific_participant_real_2:1p2,U,S,liked,7,0.438369439734105,0.558165425687142,0.408922386895199
56,56,mk:prolific_participant_real_2:1,p3p5,mk:prolific_participant_real_2:1p5,mk:prolific_participant_real_2:1p3,S,U,liked,4,-1.0916979530862,-0.586603085502214,-0.180601794940175
60,60,mk:prolific_participant_real_2:1,p3p7,mk:prolific_participant_real_2:1p3,mk:prolific_participant_real_2:1p7,S,U,liked,5,-1.18203755037347,-0.010757685909641,-0.152787896447625
64,64,mk:prolific_participant_real_2:1,p3p8,mk:prolific_participant_real_2:1p3,mk:prolific_participant_real_2:1p8,U,U,liked,7,0.770746363978398,-0.010757685909641,-0.152787896447625
68,68,mk:prolific_participant_real_2:1,p3p8,mk:prolific_participant_real_2:1p8,mk:prolific_participant_real_2:1p3,U,U,liked,7,0.763533535724439,0.558165425687142,0.408922386895199
72,72,mk:prolific_participant_real_2:1,p4p5,mk:prolific_participant_real_2:1p5,mk:prolific_participant_real_2:1p4,U,S,liked,6,NA,-0.586603085502214,-0.180601794940175
76,76,mk:prolific_participant_real_2:1,p4p7,mk:prolific_participant_real_2:1p7,mk:prolific_participant_real_2:1p4,S,U,liked,4,NA,0.0392059284928044,0.361706301247071
80,80,mk:prolific_participant_real_2:1,p4p8,mk:prolific_participant_real_2:1p8,mk:prolific_participant_real_2:1p4,S,S,liked,4,NA,0.558165425687142,0.408922386895199
84,84,mk:prolific_participant_real_2:2,p1p5,mk:prolific_participant_real_2:2p1,mk:prolific_participant_real_2:2p5,U,U,liked,7,1.23673370527843,0.110336171256171,-0.340681367450291
88,88,mk:prolific_participant_real_2:2,p1p5,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p1,U,U,liked,7,1.68655470060924,0.345372517903646,0.344175974527994
92,92,mk:prolific_participant_real_2:2,p1p6,mk:prolific_participant_real_2:2p1,mk:prolific_participant_real_2:2p6,S,U,liked,4,-0.929770200971573,0.110336171256171,-0.340681367450291
96,96,mk:prolific_participant_real_2:2,p1p6,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p1,U,S,liked,1,-2.81295701814076,-1.15511576334635,-0.489320119222005
100,100,mk:prolific_participant_real_2:2,p1p7,mk:prolific_participant_real_2:2p1,mk:prolific_participant_real_2:2p7,S,S,liked,7,1.22285837975759,0.110336171256171,-0.340681367450291
104,104,mk:prolific_participant_real_2:2,p1p7,mk:prolific_participant_real_2:2p7,mk:prolific_participant_real_2:2p1,S,S,liked,6,0.505931328213405,0.525995890299479,0.358051300048828
108,108,mk:prolific_participant_real_2:2,p1p8,mk:prolific_participant_real_2:2p1,mk:prolific_participant_real_2:2p8,U,S,liked,4,-1.2190049981314,0.110336171256171,-0.340681367450291
112,112,mk:prolific_participant_real_2:2,p2p5,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p5,S,S,liked,6,0.372037997321478,-0.0249681207868786,0.237571583853828
116,116,mk:prolific_participant_real_2:2,p2p5,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p2,S,S,liked,6,0.108301749305119,0.345372517903646,0.344175974527994
120,120,mk:prolific_participant_real_2:2,p2p6,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p6,U,S,liked,5,0.205534091071477,-0.0249681207868786,0.237571583853828
124,124,mk:prolific_participant_real_2:2,p2p6,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p2,S,U,liked,5,0.608790030555119,-1.15511576334635,-0.489320119222005
128,128,mk:prolific_participant_real_2:2,p2p7,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p7,U,U,liked,6,0.358162671800644,-0.0249681207868786,0.237571583853828
132,132,mk:prolific_participant_real_2:2,p2p7,mk:prolific_participant_real_2:2p7,mk:prolific_participant_real_2:2p2,U,U,liked,6,-0.0723216230907138,0.525995890299479,0.358051300048828
136,136,mk:prolific_participant_real_2:2,p2p8,mk:prolific_participant_real_2:2p2,mk:prolific_participant_real_2:2p8,S,U,liked,4,-1.08370070608835,-0.0249681207868786,0.237571583853828
140,140,mk:prolific_participant_real_2:2,p3p5,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p5,U,S,liked,6,0.0322891114250066,0.314780765109592,-0.0174170600043411
144,144,mk:prolific_participant_real_2:2,p3p5,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p3,S,U,liked,5,-0.636709606836711,0.345372517903646,0.344175974527994
148,148,mk:prolific_participant_real_2:2,p3p6,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p6,S,S,liked,5,-0.134214794824994,0.314780765109592,-0.0174170600043411
152,152,mk:prolific_participant_real_2:2,p3p6,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p3,S,S,liked,5,0.863778674413289,-1.15511576334635,-0.489320119222005
156,156,mk:prolific_participant_real_2:2,p3p7,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p7,S,U,liked,6,0.0184137859041726,0.314780765109592,-0.0174170600043411
160,160,mk:prolific_participant_real_2:2,p3p7,mk:prolific_participant_real_2:2p7,mk:prolific_participant_real_2:2p3,U,S,liked,6,0.182667020767456,0.525995890299479,0.358051300048828
164,164,mk:prolific_participant_real_2:2,p3p8,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p8,U,U,liked,6,0.576550408015176,0.314780765109592,-0.0174170600043411
168,168,mk:prolific_participant_real_2:2,p3p8,mk:prolific_participant_real_2:2p8,mk:prolific_participant_real_2:2p3,U,U,liked,5,-0.568773027450318,0.277435938517252,-0.200085322062176
172,172,mk:prolific_participant_real_2:2,p4p5,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p5,S,U,liked,4,-1.25909272451249,-0.393837398952908,0.10770501030816
176,176,mk:prolific_participant_real_2:2,p4p5,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p4,U,S,liked,5,-0.761831677149212,0.345372517903646,0.344175974527994
180,180,mk:prolific_participant_real_2:2,p4p6,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p6,U,U,liked,5,0.574403369237507,-0.393837398952908,0.10770501030816
184,184,mk:prolific_participant_real_2:2,p4p6,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p4,U,U,liked,4,-0.261343395899212,-1.15511576334635,-0.489320119222005
188,188,mk:prolific_participant_real_2:2,p4p7,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p7,U,S,liked,4,-1.27296805003333,-0.393837398952908,0.10770501030816
192,192,mk:prolific_participant_real_2:2,p4p7,mk:prolific_participant_real_2:2p7,mk:prolific_participant_real_2:2p4,S,U,liked,6,0.0575449504549548,0.525995890299479,0.358051300048828
196,196,mk:prolific_participant_real_2:2,p4p8,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p8,S,S,liked,6,1.28516857207768,-0.393837398952908,0.10770501030816
200,200,mk:prolific_participant_real_2:2,p4p8,mk:prolific_participant_real_2:2p8,mk:prolific_participant_real_2:2p4,S,S,liked,7,1.30610490223718,0.277435938517252,-0.200085322062176
204,204,mk:prolific_participant_real_3:1,p1p5,mk:prolific_participant_real_3:1p5,mk:prolific_participant_real_3:1p1,U,U,liked,4,NA,0.108597366898149,-0.462221498842592
208,208,mk:prolific_participant_real_3:1,p1p7,mk:prolific_participant_real_3:1p7,mk:prolific_participant_real_3:1p1,S,S,liked,7,NA,0.158383969907408,-0.0123336226851851
212,212,mk:prolific_participant_real_3:1,p2p5,mk:prolific_participant_real_3:1p2,mk:prolific_participant_real_3:1p5,S,S,liked,7,0.511317274305554,0.240053530092593,0.187680844907408
216,216,mk:prolific_participant_real_3:1,p2p5,mk:prolific_participant_real_3:1p5,mk:prolific_participant_real_3:1p2,S,S,liked,7,-0.00712890625000107,0.108597366898149,-0.462221498842592
220,220,mk:prolific_participant_real_3:1,p2p6,mk:prolific_participant_real_3:1p2,mk:prolific_participant_real_3:1p6,U,S,liked,7,0.0106662326388882,0.240053530092593,0.187680844907408
224,224,mk:prolific_participant_real_3:1,p2p6,mk:prolific_participant_real_3:1p6,mk:prolific_participant_real_3:1p2,S,U,liked,7,-0.0624674479166671,0.163935908564815,0.0384295428240744
228,228,mk:prolific_participant_real_3:1,p2p7,mk:prolific_participant_real_3:1p7,mk:prolific_participant_real_3:1p2,U,U,liked,7,-0.0569155092592606,0.158383969907408,-0.0123336226851851
232,232,mk:prolific_participant_real_3:1,p3p5,mk:prolific_participant_real_3:1p3,mk:prolific_participant_real_3:1p5,U,S,liked,5,-0.537655526620371,-0.710973668981481,0.0827184606481488
236,236,mk:prolific_participant_real_3:1,p3p5,mk:prolific_participant_real_3:1p5,mk:prolific_participant_real_3:1p3,S,U,liked,7,0.0978334780092585,0.108597366898149,-0.462221498842592
