...1,index,sid,dyad,user_id,other_id,participant_condition,other_condition,question_content,measure,relationship,measure.p,measure.t
2,2,mk:prolific_participant_real_2:1,p1p5,mk:prolific_participant_real_2:1p1,mk:prolific_participant_real_2:1p5,U,U,conversation_quality,5,-0.0642399212913007,-0.957996568447244,0.291424234729294
0,0,mk:prolific_participant_real_2:1,p1p5,mk:prolific_participant_real_2:1p1,mk:prolific_participant_real_2:1p5,U,U,liked,4,-0.441582861886251,-1.20890427820962,0.225447287411424
1,1,mk:prolific_participant_real_2:1,p1p5,mk:prolific_participant_real_2:1p1,mk:prolific_participant_real_2:1p5,U,U,other_liked,4,-0.316923083529539,-1.03634735039893,0.130193069001861
3,3,mk:prolific_participant_real_2:1,p1p5,mk:prolific_participant_real_2:1p1,mk:prolific_participant_real_2:1p5,U,U,video_conf_quality,7,1.15754349361581,-0.536388004424936,-0.557107651343545
30,30,mk:prolific_participant_real_2:1,p2p5,mk:prolific_participant_real_2:1p2,mk:prolific_participant_real_2:1p5,S,S,conversation_quality,7,0.135716510286954,0.842046999974501,0.455044755303204
28,28,mk:prolific_participant_real_2:1,p2p5,mk:prolific_participant_real_2:1p2,mk:prolific_participant_real_2:1p5,S,S,liked,7,0.38111186768717,0.968400992216961,0.172376199542708
29,29,mk:prolific_participant_real_2:1,p2p5,mk:prolific_participant_real_2:1p2,mk:prolific_participant_real_2:1p5,S,S,other_liked,6,0.283043029920215,0.36368653615132,0.257453473892681
31,31,mk:prolific_participant_real_2:1,p2p5,mk:prolific_participant_real_2:1p2,mk:prolific_participant_real_2:1p5,S,S,video_conf_quality,7,0.263832061097008,0.357323428093868,0.543046496522241
62,62,mk:prolific_participant_real_2:1,p3p7,mk:prolific_participant_real_2:1p3,mk:prolific_participant_real_2:1p7,S,U,conversation_quality,4,-1.74454042055181,-0.345618634401907,-0.29967130334016
60,60,mk:prolific_participant_real_2:1,p3p7,mk:prolific_participant_real_2:1p3,mk:prolific_participant_real_2:1p7,S,U,liked,5,-1.18203755037347,-0.010757685909641,-0.152787896447625
61,61,mk:prolific_participant_real_2:1,p3p7,mk:prolific_participant_real_2:1p3,mk:prolific_participant_real_2:1p7,S,U,other_liked,6,-0.470204795266711,0.337092584456731,-0.0463346169892374
63,63,mk:prolific_participant_real_2:1,p3p7,mk:prolific_participant_real_2:1p3,mk:prolific_participant_real_2:1p7,S,U,video_conf_quality,6,0.876237935743454,0.335572636879617,-0.139044464043873
6,6,mk:prolific_participant_real_2:1,p1p5,mk:prolific_participant_real_2:1p5,mk:prolific_participant_real_2:1p1,U,U,conversation_quality,7,0.959743484414799,-0.299112816070826,-0.0257086071881885
4,4,mk:prolific_participant_real_2:1,p1p5,mk:prolific_participant_real_2:1p5,mk:prolific_participant_real_2:1p1,U,U,liked,7,1.53006686305475,-0.586603085502214,-0.180601794940175
5,5,mk:prolific_participant_real_2:1,p1p5,mk:prolific_participant_real_2:1p5,mk:prolific_participant_real_2:1p1,U,U,other_liked,6,0.719312759334263,-0.464265046788186,-0.261488784523597
7,7,mk:prolific_participant_real_2:1,p1p5,mk:prolific_participant_real_2:1p5,mk:prolific_participant_real_2:1p1,U,U,video_conf_quality,5,0.201093178831349,-0.486568655062132,0.536261383234796
42,42,mk:prolific_participant_real_2:1,p2p6,mk:prolific_participant_real_2:1p6,mk:prolific_participant_real_2:1p2,S,U,conversation_quality,7,0.36344030141211,0.133569846357952,-0.958798373056011
40,40,mk:prolific_participant_real_2:1,p2p6,mk:prolific_participant_real_2:1p6,mk:prolific_participant_real_2:1p2,S,U,liked,7,0.756042162196684,0.240492703224563,-0.835062483708602
41,41,mk:prolific_participant_real_2:1,p2p6,mk:prolific_participant_real_2:1p6,mk:prolific_participant_real_2:1p2,S,U,other_liked,6,0.135705993924017,-0.00791868626875925,-0.949141359219657
43,43,mk:prolific_participant_real_2:1,p2p6,mk:prolific_participant_real_2:1p6,mk:prolific_participant_real_2:1p2,S,U,video_conf_quality,7,0.372323521704056,0.242046854199375,-0.125635092255353
18,18,mk:prolific_participant_real_2:1,p1p7,mk:prolific_participant_real_2:1p7,mk:prolific_participant_real_2:1p1,S,S,conversation_quality,7,0.43646313442599,0.224167533917982,0.0422139580269851
16,16,mk:prolific_participant_real_2:1,p1p7,mk:prolific_participant_real_2:1p7,mk:prolific_participant_real_2:1p1,S,S,liked,6,-0.0957421509402723,0.0392059284928044,0.361706301247071
