"X","index","sid","dyad","user_id","other_id","participant_condition","other_condition","question_content","measure","alignment"
0,0,"mk:prolific_participant_real_2:1","p1p5","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p5","U","U","liked",4,1
1,1,"mk:prolific_participant_real_2:1","p1p5","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p5","U","U","other_liked",4,1
2,2,"mk:prolific_participant_real_2:1","p1p5","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p5","U","U","conversation_quality",5,1
3,3,"mk:prolific_participant_real_2:1","p1p5","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p5","U","U","video_conf_quality",7,1
4,4,"mk:prolific_participant_real_2:1","p1p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p1","U","U","liked",7,1
5,5,"mk:prolific_participant_real_2:1","p1p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p1","U","U","other_liked",6,1
6,6,"mk:prolific_participant_real_2:1","p1p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p1","U","U","conversation_quality",7,1
7,7,"mk:prolific_participant_real_2:1","p1p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p1","U","U","video_conf_quality",5,1
8,8,"mk:prolific_participant_real_2:1","p1p6","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p6","S","U","liked",1,0
9,9,"mk:prolific_participant_real_2:1","p1p6","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p6","S","U","other_liked",1,0
10,10,"mk:prolific_participant_real_2:1","p1p6","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p6","S","U","conversation_quality",1,0
11,11,"mk:prolific_participant_real_2:1","p1p6","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p6","S","U","video_conf_quality",4,0
12,12,"mk:prolific_participant_real_2:1","p1p7","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p7","S","S","liked",7,1
13,13,"mk:prolific_participant_real_2:1","p1p7","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p7","S","S","other_liked",7,1
14,14,"mk:prolific_participant_real_2:1","p1p7","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p7","S","S","conversation_quality",7,1
15,15,"mk:prolific_participant_real_2:1","p1p7","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p7","S","S","video_conf_quality",3,1
16,16,"mk:prolific_participant_real_2:1","p1p7","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p1","S","S","liked",6,1
17,17,"mk:prolific_participant_real_2:1","p1p7","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p1","S","S","other_liked",6,1
18,18,"mk:prolific_participant_real_2:1","p1p7","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p1","S","S","conversation_quality",7,1
19,19,"mk:prolific_participant_real_2:1","p1p7","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p1","S","S","video_conf_quality",4,1
20,20,"mk:prolific_participant_real_2:1","p1p8","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p8","U","S","liked",5,0
21,21,"mk:prolific_participant_real_2:1","p1p8","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p8","U","S","other_liked",5,0
22,22,"mk:prolific_participant_real_2:1","p1p8","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p8","U","S","conversation_quality",6,0
23,23,"mk:prolific_participant_real_2:1","p1p8","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p8","U","S","video_conf_quality",7,0
24,24,"mk:prolific_participant_real_2:1","p1p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p1","S","U","liked",6,0
25,25,"mk:prolific_participant_real_2:1","p1p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p1","S","U","other_liked",6,0
26,26,"mk:prolific_participant_real_2:1","p1p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p1","S","U","conversation_quality",6,0
27,27,"mk:prolific_participant_real_2:1","p1p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p1","S","U","video_conf_quality",6,0
28,28,"mk:prolific_participant_real_2:1","p2p5","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p5","S","S","liked",7,1
29,29,"mk:prolific_participant_real_2:1","p2p5","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p5","S","S","other_liked",6,1
30,30,"mk:prolific_participant_real_2:1","p2p5","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p5","S","S","conversation_quality",7,1
31,31,"mk:prolific_participant_real_2:1","p2p5","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p5","S","S","video_conf_quality",7,1
32,32,"mk:prolific_participant_real_2:1","p2p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p2","S","S","liked",4,1
33,33,"mk:prolific_participant_real_2:1","p2p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p2","S","S","other_liked",5,1
34,34,"mk:prolific_participant_real_2:1","p2p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p2","S","S","conversation_quality",6,1
35,35,"mk:prolific_participant_real_2:1","p2p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p2","S","S","video_conf_quality",6,1
36,36,"mk:prolific_participant_real_2:1","p2p6","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p6","U","S","liked",7,0
37,37,"mk:prolific_participant_real_2:1","p2p6","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p6","U","S","other_liked",6,0
38,38,"mk:prolific_participant_real_2:1","p2p6","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p6","U","S","conversation_quality",7,0
39,39,"mk:prolific_participant_real_2:1","p2p6","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p6","U","S","video_conf_quality",7,0
40,40,"mk:prolific_participant_real_2:1","p2p6","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1p2","S","U","liked",7,0
41,41,"mk:prolific_participant_real_2:1","p2p6","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1p2","S","U","other_liked",6,0
42,42,"mk:prolific_participant_real_2:1","p2p6","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1p2","S","U","conversation_quality",7,0
43,43,"mk:prolific_participant_real_2:1","p2p6","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1p2","S","U","video_conf_quality",7,0
44,44,"mk:prolific_participant_real_2:1","p2p7","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p7","U","U","liked",7,1
45,45,"mk:prolific_participant_real_2:1","p2p7","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p7","U","U","other_liked",6,1
46,46,"mk:prolific_participant_real_2:1","p2p7","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p7","U","U","conversation_quality",7,1
47,47,"mk:prolific_participant_real_2:1","p2p7","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p7","U","U","video_conf_quality",4,1
48,48,"mk:prolific_participant_real_2:1","p2p8","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p8","S","U","liked",7,0
49,49,"mk:prolific_participant_real_2:1","p2p8","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p8","S","U","other_liked",6,0
50,50,"mk:prolific_participant_real_2:1","p2p8","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p8","S","U","conversation_quality",7,0
51,51,"mk:prolific_participant_real_2:1","p2p8","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p8","S","U","video_conf_quality",7,0
52,52,"mk:prolific_participant_real_2:1","p2p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p2","U","S","liked",7,0
53,53,"mk:prolific_participant_real_2:1","p2p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p2","U","S","other_liked",7,0
54,54,"mk:prolific_participant_real_2:1","p2p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p2","U","S","conversation_quality",7,0
55,55,"mk:prolific_participant_real_2:1","p2p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p2","U","S","video_conf_quality",7,0
56,56,"mk:prolific_participant_real_2:1","p3p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p3","S","U","liked",4,0
57,57,"mk:prolific_participant_real_2:1","p3p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p3","S","U","other_liked",4,0
58,58,"mk:prolific_participant_real_2:1","p3p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p3","S","U","conversation_quality",4,0
59,59,"mk:prolific_participant_real_2:1","p3p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p3","S","U","video_conf_quality",4,0
60,60,"mk:prolific_participant_real_2:1","p3p7","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p7","S","U","liked",5,0
61,61,"mk:prolific_participant_real_2:1","p3p7","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p7","S","U","other_liked",6,0
62,62,"mk:prolific_participant_real_2:1","p3p7","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p7","S","U","conversation_quality",4,0
63,63,"mk:prolific_participant_real_2:1","p3p7","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p7","S","U","video_conf_quality",6,0
64,64,"mk:prolific_participant_real_2:1","p3p8","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p8","U","U","liked",7,1
65,65,"mk:prolific_participant_real_2:1","p3p8","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p8","U","U","other_liked",7,1
66,66,"mk:prolific_participant_real_2:1","p3p8","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p8","U","U","conversation_quality",7,1
67,67,"mk:prolific_participant_real_2:1","p3p8","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p8","U","U","video_conf_quality",7,1
68,68,"mk:prolific_participant_real_2:1","p3p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p3","U","U","liked",7,1
69,69,"mk:prolific_participant_real_2:1","p3p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p3","U","U","other_liked",7,1
70,70,"mk:prolific_participant_real_2:1","p3p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p3","U","U","conversation_quality",7,1
71,71,"mk:prolific_participant_real_2:1","p3p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p3","U","U","video_conf_quality",7,1
72,72,"mk:prolific_participant_real_2:1","p4p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p4","U","S","liked",6,0
73,73,"mk:prolific_participant_real_2:1","p4p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p4","U","S","other_liked",6,0
74,74,"mk:prolific_participant_real_2:1","p4p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p4","U","S","conversation_quality",7,0
75,75,"mk:prolific_participant_real_2:1","p4p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p4","U","S","video_conf_quality",5,0
76,76,"mk:prolific_participant_real_2:1","p4p7","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p4","S","U","liked",4,0
77,77,"mk:prolific_participant_real_2:1","p4p7","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p4","S","U","other_liked",4,0
78,78,"mk:prolific_participant_real_2:1","p4p7","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p4","S","U","conversation_quality",4,0
79,79,"mk:prolific_participant_real_2:1","p4p7","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p4","S","U","video_conf_quality",4,0
80,80,"mk:prolific_participant_real_2:1","p4p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p4","S","S","liked",4,1
81,81,"mk:prolific_participant_real_2:1","p4p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p4","S","S","other_liked",4,1
82,82,"mk:prolific_participant_real_2:1","p4p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p4","S","S","conversation_quality",4,1
83,83,"mk:prolific_participant_real_2:1","p4p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p4","S","S","video_conf_quality",4,1
84,84,"mk:prolific_participant_real_2:2","p1p5","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p5","U","U","liked",7,1
85,85,"mk:prolific_participant_real_2:2","p1p5","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p5","U","U","other_liked",6,1
86,86,"mk:prolific_participant_real_2:2","p1p5","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p5","U","U","conversation_quality",6,1
87,87,"mk:prolific_participant_real_2:2","p1p5","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p5","U","U","video_conf_quality",6,1
88,88,"mk:prolific_participant_real_2:2","p1p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p1","U","U","liked",7,1
89,89,"mk:prolific_participant_real_2:2","p1p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p1","U","U","other_liked",6,1
90,90,"mk:prolific_participant_real_2:2","p1p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p1","U","U","conversation_quality",7,1
91,91,"mk:prolific_participant_real_2:2","p1p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p1","U","U","video_conf_quality",7,1
92,92,"mk:prolific_participant_real_2:2","p1p6","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p6","S","U","liked",4,0
93,93,"mk:prolific_participant_real_2:2","p1p6","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p6","S","U","other_liked",4,0
94,94,"mk:prolific_participant_real_2:2","p1p6","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p6","S","U","conversation_quality",4,0
95,95,"mk:prolific_participant_real_2:2","p1p6","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p6","S","U","video_conf_quality",4,0
96,96,"mk:prolific_participant_real_2:2","p1p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p1","U","S","liked",1,0
97,97,"mk:prolific_participant_real_2:2","p1p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p1","U","S","other_liked",1,0
98,98,"mk:prolific_participant_real_2:2","p1p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p1","U","S","conversation_quality",1,0
99,99,"mk:prolific_participant_real_2:2","p1p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p1","U","S","video_conf_quality",5,0
100,100,"mk:prolific_participant_real_2:2","p1p7","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p7","S","S","liked",7,1
101,101,"mk:prolific_participant_real_2:2","p1p7","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p7","S","S","other_liked",6,1
102,102,"mk:prolific_participant_real_2:2","p1p7","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p7","S","S","conversation_quality",7,1
103,103,"mk:prolific_participant_real_2:2","p1p7","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p7","S","S","video_conf_quality",7,1
104,104,"mk:prolific_participant_real_2:2","p1p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p1","S","S","liked",6,1
105,105,"mk:prolific_participant_real_2:2","p1p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p1","S","S","other_liked",6,1
106,106,"mk:prolific_participant_real_2:2","p1p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p1","S","S","conversation_quality",6,1
107,107,"mk:prolific_participant_real_2:2","p1p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p1","S","S","video_conf_quality",6,1
108,108,"mk:prolific_participant_real_2:2","p1p8","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p8","U","S","liked",4,0
109,109,"mk:prolific_participant_real_2:2","p1p8","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p8","U","S","other_liked",4,0
110,110,"mk:prolific_participant_real_2:2","p1p8","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p8","U","S","conversation_quality",4,0
111,111,"mk:prolific_participant_real_2:2","p1p8","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p8","U","S","video_conf_quality",4,0
112,112,"mk:prolific_participant_real_2:2","p2p5","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p5","S","S","liked",6,1
113,113,"mk:prolific_participant_real_2:2","p2p5","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p5","S","S","other_liked",6,1
114,114,"mk:prolific_participant_real_2:2","p2p5","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p5","S","S","conversation_quality",6,1
115,115,"mk:prolific_participant_real_2:2","p2p5","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p5","S","S","video_conf_quality",6,1
116,116,"mk:prolific_participant_real_2:2","p2p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p2","S","S","liked",6,1
117,117,"mk:prolific_participant_real_2:2","p2p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p2","S","S","other_liked",6,1
118,118,"mk:prolific_participant_real_2:2","p2p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p2","S","S","conversation_quality",6,1
119,119,"mk:prolific_participant_real_2:2","p2p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p2","S","S","video_conf_quality",6,1
120,120,"mk:prolific_participant_real_2:2","p2p6","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p6","U","S","liked",5,0
121,121,"mk:prolific_participant_real_2:2","p2p6","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p6","U","S","other_liked",5,0
122,122,"mk:prolific_participant_real_2:2","p2p6","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p6","U","S","conversation_quality",6,0
123,123,"mk:prolific_participant_real_2:2","p2p6","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p6","U","S","video_conf_quality",5,0
124,124,"mk:prolific_participant_real_2:2","p2p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p2","S","U","liked",5,0
125,125,"mk:prolific_participant_real_2:2","p2p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p2","S","U","other_liked",4,0
126,126,"mk:prolific_participant_real_2:2","p2p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p2","S","U","conversation_quality",5,0
127,127,"mk:prolific_participant_real_2:2","p2p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p2","S","U","video_conf_quality",5,0
128,128,"mk:prolific_participant_real_2:2","p2p7","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p7","U","U","liked",6,1
