,sid,user_id,other_id,participant_condition,other_condition,question_content,Unnamed: 0,measure
0,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p1,mk:prolific_participant_real_2:1p5,U,U,conversation_quality,5.0,-0.0642399212912981
1,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p1,mk:prolific_participant_real_2:1p5,U,U,liked,5.0,-0.441582861886252
2,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p1,mk:prolific_participant_real_2:1p5,U,U,other_liked,5.0,-0.316923083529536
3,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p1,mk:prolific_participant_real_2:1p5,U,U,video_conf_quality,5.0,1.15754349361581
4,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p1,mk:prolific_participant_real_2:1p6,S,U,conversation_quality,7.0,-3.13115015542348
5,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p1,mk:prolific_participant_real_2:1p6,S,U,liked,7.0,-2.78712217311782
6,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p1,mk:prolific_participant_real_2:1p6,S,U,other_liked,7.0,-2.62927050883348
7,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p1,mk:prolific_participant_real_2:1p6,S,U,video_conf_quality,7.0,-1.18056003089404
8,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p1,mk:prolific_participant_real_2:1p7,S,S,conversation_quality,9.0,1.86783751349353
9,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p1,mk:prolific_participant_real_2:1p7,S,S,liked,9.0,2.0161090419265
10,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p1,mk:prolific_participant_real_2:1p7,S,S,other_liked,9.0,1.90323513958895
11,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p1,mk:prolific_participant_real_2:1p7,S,S,video_conf_quality,9.0,-1.25180142295199
12,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p1,mk:prolific_participant_real_2:1p8,U,S,conversation_quality,11.0,0.414556135995632
13,mk:prolific_participant_real_2:1,mk:prolific_participant_real_2:1p1,mk:prolific_participant_real_2:1p8,U,S,liked,11.0,-0.0311070437216259
