"","group.id","participant_nb","interacting_partner","dyad","relationship"
"1","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1_1",NA
"2","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1_1",NA
"3","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1_2",NA
"4","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1_2",NA
"5","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1_3",-0.0642399212913007
"6","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1_3",0.959743484414799
"7","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1_4",-3.13115015542348
"8","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1_4",NA
"9","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1_5",1.86783751349353
"10","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1_5",0.43646313442599
"11","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1_6",0.41455613599563
"12","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1_6",-0.742312970325574
"13","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1_7",NA
"14","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1_7",NA
"15","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1_8",0.135716510286954
"16","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1_8",-0.203877036159112
"17","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1_9",1.06880627615478
"18","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1_9",0.36344030141211
"19","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1_10",0.0677939450717799
"20","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1_10",NA
"21","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1_11",-0.385487432426116
"22","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1_11",0.0940665091005162
"23","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1_12",NA
"24","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1_12",-1.44916097751575
"25","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1_13",NA
"26","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1_13",NA
"27","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1_14",-1.74454042055181
"28","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1_14",NA
"29","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1_15",0.802178201950293
"30","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1_15",0.84878256774388
"31","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1_16",NA
"32","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1_16",NA
"33","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1_17",NA
"34","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1_17",NA
