"dyad_std","question_content","rel1","rel2"
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p5","conversation_quality",5,7
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p5","conversation_quality",5,7
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p5","liked",4,7
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p5","liked",4,7
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p5","other_liked",4,6
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p5","other_liked",4,6
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p5","video_conf_quality",7,5
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p5","video_conf_quality",7,5
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p7","conversation_quality",7,7
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p7","conversation_quality",7,7
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p7","liked",7,6
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p7","liked",7,6
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p7","other_liked",7,6
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p7","other_liked",7,6
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p7","video_conf_quality",3,4
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p7","video_conf_quality",3,4
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p8","conversation_quality",6,6
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p8","conversation_quality",6,6
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p8","liked",5,6
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p8","liked",5,6
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p8","other_liked",5,6
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p8","other_liked",5,6
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p8","video_conf_quality",7,6
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p8","video_conf_quality",7,6
"mk:prolific_participant_real_2:1p2_mk:prolific_participant_real_2:1p5","conversation_quality",7,6
"mk:prolific_participant_real_2:1p2_mk:prolific_participant_real_2:1p5","conversation_quality",7,6
"mk:prolific_participant_real_2:1p2_mk:prolific_participant_real_2:1p5","liked",7,4
"mk:prolific_participant_real_2:1p2_mk:prolific_participant_real_2:1p5","liked",7,4
"mk:prolific_participant_real_2:1p2_mk:prolific_participant_real_2:1p5","other_liked",6,5
"mk:prolific_participant_real_2:1p2_mk:prolific_participant_real_2:1p5","other_liked",6,5
