"dyad_std","question_content","participant_condition","other_condition","rel1","rel2"
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p5","conversation_quality","U","U",5,7
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p5","conversation_quality","U","U",5,7
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p5","liked","U","U",4,7
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p5","liked","U","U",4,7
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p5","other_liked","U","U",4,6
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p5","other_liked","U","U",4,6
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p5","video_conf_quality","U","U",7,5
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p5","video_conf_quality","U","U",7,5
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p7","conversation_quality","S","S",7,7
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p7","conversation_quality","S","S",7,7
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p7","liked","S","S",7,6
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p7","liked","S","S",7,6
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p7","other_liked","S","S",7,6
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p7","other_liked","S","S",7,6
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p7","video_conf_quality","S","S",3,4
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p7","video_conf_quality","S","S",3,4
"mk:prolific_participant_real_2:1p2_mk:prolific_participant_real_2:1p5","conversation_quality","S","S",7,6
"mk:prolific_participant_real_2:1p2_mk:prolific_participant_real_2:1p5","conversation_quality","S","S",7,6
"mk:prolific_participant_real_2:1p2_mk:prolific_participant_real_2:1p5","liked","S","S",7,4
"mk:prolific_participant_real_2:1p2_mk:prolific_participant_real_2:1p5","liked","S","S",7,4
"mk:prolific_participant_real_2:1p2_mk:prolific_participant_real_2:1p5","other_liked","S","S",6,5
"mk:prolific_participant_real_2:1p2_mk:prolific_participant_real_2:1p5","other_liked","S","S",6,5
"mk:prolific_participant_real_2:1p2_mk:prolific_participant_real_2:1p5","video_conf_quality","S","S",7,6
"mk:prolific_participant_real_2:1p2_mk:prolific_participant_real_2:1p5","video_conf_quality","S","S",7,6
