"","group.id","participant_nb","interacting_partner","dyad","relationship"
"1","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1_1",NA
"2","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1_1",NA
"3","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1_2",NA
"4","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1_2",NA
"5","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1_3",-0.441582861886252
"6","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1_3",1.53006686305475
"7","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1_4",-2.78712217311782
"8","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1_4",NA
"9","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1_5",2.0161090419265
"10","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1_5",-0.0957421509402732
"11","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1_6",-0.0311070437216259
"12","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1_6",-0.61470164813461
"13","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1_7",NA
"14","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1_7",NA
"15","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1_8",0.381111867687169
"16","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1_8",-1.41686204907654
"17","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1_9",1.0355725564556
"18","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1_9",0.756042162196684
"19","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1_10",-0.161196228500077
"20","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1_10",NA
"21","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1_11",-0.208412314148205
"22","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1_11",0.438369439734105
"23","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1_12",NA
"24","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1_12",-1.09169795308621
"25","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1_13",NA
"26","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1_13",NA
"27","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1_14",-1.18203755037348
"28","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1_14",NA
"29","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1_15",0.770746363978397
"30","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1_15",0.763533535724438
"31","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1_16",NA
"32","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1_16",NA
"33","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1_17",NA
"34","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1_17",NA
