"","group.id","participant_nb","interacting_partner","dyad","relationship"
"1","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1_1",NA
"2","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1_1",NA
"3","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1_2",NA
"4","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1_2",NA
"5","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1_3",-0.316923083529539
"6","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1_3",0.719312759334263
"7","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1_4",-2.62927050883348
"8","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1_4",NA
"9","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1_5",1.90323513958895
"10","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1_5",0.129893960265282
"11","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1_6",0.0706229064668342
"12","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1_6",-0.427550498020949
"13","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1_7",NA
"14","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1_7",NA
"15","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1_8",0.283043029920215
"16","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1_8",-0.407947645556557
"17","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1_9",0.970695604616274
"18","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1_9",0.135705993924017
"19","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1_10",-0.4967987469613
"20","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1_10",NA
"21","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1_11",-0.329410980083412
"22","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1_11",0.445189097088232
"23","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1_12",NA
"24","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1_12",-1.10415955467464
"25","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1_13",NA
"26","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1_13",NA
"27","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1_14",-0.470204795266711
"28","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1_14",NA
"29","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1_15",0.697182971611177
"30","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1_15",0.74897718797015
"31","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1_16",NA
"32","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1_16",NA
"33","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1_17",NA
"34","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1_17",NA
