"","group.id","participant_nb","interacting_partner","dyad","relationship"
"1","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1_1",NA
"2","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1_1",NA
"3","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1_2",NA
"4","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1_2",NA
"5","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1_3",1.15754349361581
"6","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1_3",0.201093178831347
"7","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1_4",-1.18056003089404
"8","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1_4",NA
"9","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1_5",-1.25180142295199
"10","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1_5",-0.745282385473329
"11","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1_6",0.896931848767476
"12","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1_6",0.0863176926975546
"13","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1_7",NA
"14","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1_7",NA
"15","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1_8",0.263832061097007
"16","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1_8",0.100939030965562
"17","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1_9",0.925728536587156
"18","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1_9",0.372323521704055
"19","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1_10",-1.1455128554708
"20","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1_10",NA
"21","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1_11",0.00322041624867264
"22","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1_11",-0.0138364551682306
"23","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1_12",NA
"24","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1_12",-1.21697000846832
"25","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1_13",NA
"26","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1_13",NA
"27","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1_14",0.876237935743455
"28","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1_14",NA
"29","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1_15",0.024971207462924
"30","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1_15",0.668254505397884
"31","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1_16",NA
"32","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1_16",NA
"33","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1_17",NA
"34","mk:prolific_participant_real_2:1","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1_17",NA
